filename,abs_angle,augmented,actual_words,detected_words,error
page5_angle_15.jpg,15,No,122,115,7
page5_angle_15_aug3.jpg,15,Yes,122,117,5
page6_angle_-15.jpg,15,No,126,128,2
page6_angle_-15_aug1.jpg,15,Yes,126,133,7
page6_angle_-15_aug2.jpg,15,Yes,126,126,0
page6_angle_-15_aug3.jpg,15,Yes,126,131,5
page6_angle_15.jpg,15,No,126,129,3
page6_angle_15_aug1.jpg,15,Yes,126,134,8
page6_angle_15_aug3.jpg,15,Yes,126,130,4
page7_angle_-15.jpg,15,No,122,109,13
page7_angle_-15_aug1.jpg,15,Yes,122,109,13
page7_angle_-15_aug2.jpg,15,Yes,122,112,10
page7_angle_15.jpg,15,No,122,107,15
page7_angle_15_aug1.jpg,15,Yes,122,110,12
page8_angle_-15.jpg,15,No,121,114,7
page8_angle_-15_aug1.jpg,15,Yes,121,114,7
page8_angle_-15_aug3.jpg,15,Yes,121,114,7
page8_angle_15.jpg,15,No,121,115,6
page8_angle_15_aug3.jpg,15,Yes,121,115,6
page9_angle_-15.jpg,15,No,121,108,13
page9_angle_-15_aug1.jpg,15,Yes,121,116,5
page9_angle_15.jpg,15,No,121,108,13
page9_angle_15_aug1.jpg,15,Yes,121,114,7
page9_angle_15_aug2.jpg,15,Yes,121,117,4
page9_angle_15_aug3.jpg,15,Yes,121,116,5
page10_angle_-20.jpg,20,No,121,113,8
page10_angle_-20_aug1.jpg,20,Yes,121,116,5
page10_angle_-20_aug2.jpg,20,Yes,121,113,8
page10_angle_20.jpg,20,No,121,113,8
page10_angle_20_aug1.jpg,20,Yes,121,121,0
page11_angle_-20.jpg,20,No,124,119,5
page11_angle_20.jpg,20,No,124,119,5
page1_angle_-20.jpg,20,No,124,130,6
page1_angle_-20_aug1.jpg,20,Yes,124,131,7
page1_angle_-20_aug2.jpg,20,Yes,124,133,9
page1_angle_20.jpg,20,No,124,128,4
page1_angle_20_aug2.jpg,20,Yes,124,128,4
page2_angle_-20.jpg,20,No,124,118,6
page2_angle_-20_aug2.jpg,20,Yes,124,135,11
page2_angle_-20_aug3.jpg,20,Yes,124,120,4
page2_angle_20.jpg,20,No,124,118,6
page2_angle_20_aug3.jpg,20,Yes,124,122,2
page3_angle_-20.jpg,20,No,126,128,2
page3_angle_20.jpg,20,No,126,128,2
page3_angle_20_aug2.jpg,20,Yes,126,129,3
page3_angle_20_aug3.jpg,20,Yes,126,127,1
